clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
0	0	0	2020-02-07 23:16:16 -0500	2020-02-07 22:56:07 -0500	2020-02-07 22:56:07 -0500	2020-02-07 22:56:07 -0500	2020-02-07 22:56:07 -0500	github.com/wchretien/inf3135-h2020-tp1
0	0	0	2020-02-08 20:37:57 -0500	2020-02-08 20:37:57 -0500	2020-02-08 22:41:20 -0500	2020-02-04 18:46:35 -0500		github.com/Beva-Lwash/inf3135-h2020-tp1
0	0	0	2020-02-08 19:35:12 -0500	2020-02-08 18:56:47 -0500	2020-02-08 18:56:47 -0500	2020-01-20 14:02:06 -0500	2020-02-08 18:56:47 -0500	github.com/CorneilleFrejus/inf3135-h2020-tp1
0	1	0	2020-02-07 20:57:15 -0600	2020-01-30 15:02:31 -0500	2020-01-31 17:22:36 -0600	2020-02-02 16:27:33 -0600	2020-02-02 16:08:51 -0600	github.com/leopoldmaillard/inf3135-h2020-tp1
0	0	0	2020-02-08 18:24:05 -0500	2020-02-08 14:08:45 -0500	2020-02-08 14:08:45 -0500	2020-02-08 14:08:45 -0500	2020-02-08 14:08:45 -0500	github.com/ardofall/inf3135-h2020-tp1
0	1	0	2020-02-08 15:37:17 -0500	2020-02-07 22:16:13 -0500	2020-02-08 15:18:40 -0500	2020-02-07 18:17:49 -0500	2020-02-07 22:16:13 -0500	github.com/hugodupont/inf3135-h2020-tp1
0	0	0	2020-02-08 18:22:24 -0500	2020-02-08 18:22:24 -0500	2020-02-08 18:22:24 -0500	2020-01-30 15:41:47 -0500	2020-02-08 18:22:24 -0500	github.com/momo-dkt/inf3135-h2020-tp1
0	0	0			2020-01-29 09:50:52 -0500	2020-01-28 10:34:53 -0500	2020-01-28 10:10:37 -0500	github.com/hydraslahir/inf3135-h2020-tp1
0	0	0	2020-02-08 22:43:34 -0500	2020-02-08 20:05:56 -0500	2020-02-08 20:05:56 -0500	2020-02-08 20:05:56 -0500	2020-02-08 20:05:56 -0500	github.com/jloga12/inf3135-h2020-tp1
0	0	0	2020-02-07 16:08:04 -0500	2020-02-07 19:17:36 -0500	2020-02-07 19:18:42 -0500	2020-02-07 16:32:18 -0500	2020-02-07 16:31:44 -0500	github.com/ArielleSadeu/inf3135-h2020-tp1
# de depot :72

erreur :
128: Le nom du projet est errone ou inexistant.
  1: You are not allowed to push into this branch. *Droits d'ecriture dans la branch master.*
